[INFO] (lattice_cell.c: 543): starting lattice cell
[INFO] (lattice_cell.c: 465): Initialise: started
[INFO] (data_specification.c: 78): magic = ad130ad6, version = 1.0
[INFO] (lattice_cell.c: 494): my key is 448
[INFO] (lattice_cell.c: 501): I'm in position ( 5, 6)
[INFO] (lattice_cell.c: 507): my n key is 46
[INFO] (lattice_cell.c: 513): my U_X = 0.009997531771659851
[INFO] (lattice_cell.c: 514): my U_Y = -0.0005000000237487257
[INFO] (lattice_cell.c: 522): input_buffer initialised
[INFO] (recording.c: 563): Recording 1 regions, using output tag 0, size before trigger 7686392, time between triggers 50
[INFO] (recording.c: 665): Recording channel 0 configured to use 7686136 byte memory block starting at 0x63593714
[INFO] (lattice_cell.c: 527): Recording flags = 0x00000001
[INFO] (lattice_cell.c: 555): setting timer to execute every 2000 microseconds
[INFO] (lattice_cell.c: 563): Starting

[INFO] (simulation.c: 159): Setting the runtime of this model to 50 starting at 0
[INFO] (simulation.c: 161): Setting the flag of infinite run for this model to 0
[INFO] (simulation.c: 175): Resuming
[INFO] (lattice_cell.c: 401): on tick 0 of 50
[INFO] (lattice_cell.c: 264): sending my position of 5 via multicast with key 448
[INFO] (lattice_cell.c: 228): n=1038779462 w=1038296438 s=1037884898 e=1038341178, nw=1021978569 sw=1021086687 se=1021128745 ne=102202512008
[INFO] (lattice_cell.c: 374): the key I receive is 441
[INFO] (lattice_cell.c: 374): the key I receive is 442
[INFO] (lattice_cell.c: 374): the key I receive is 443
[INFO] (lattice_cell.c: 374): the key I receive is 444
[INFO] (lattice_cell.c: 374): the key I receive is 445
[INFO] (lattice_cell.c: 374): the key I receive is 446
[INFO] (lattice_cell.c: 374): the key I receive is 447
[INFO] (lattice_cell.c: 374): the key I receive is 536
[INFO] (lattice_cell.c: 374): the key I receive is 456
[INFO] (lattice_cell.c: 374): the key I receive is 541
[INFO] (lattice_cell.c: 374): the key I receive is 459
991
[440, 1038779580, 441, 1038296438, 442, 1037884794, 443, 1038341178, 444, 1021978684, 445, 1021086583, 446, 1021128642, 447, 1022026107, 536, 1038735529, 456, 1038735527, 541, 1021131309, 459, 1038341986]
[INFO] (lattice_cell.c: 180): current_key = 440, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 441, current_payload = 1038296448.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 442, current_payload = 1037884800.0, direction = 2
[INFO] (lattice_cell.c: 180): current_key = 443, current_payload = 1038341184.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 444, current_payload = 1021978688.0, direction = 4
[INFO] (lattice_cell.c: 180): current_key = 445, current_payload = 1021086592.0, direction = 5
[INFO] (lattice_cell.c: 180): current_key = 446, current_payload = 1021128640.0, direction = 6
[INFO] (lattice_cell.c: 180): current_key = 447, current_payload = 1022026112.0, direction = 7
[INFO] (lattice_cell.c: 180): current_key = 536, current_payload = 1038735552.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 456, current_payload = 1038735552.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 541, current_payload = 1021131328.0, direction = 5
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 459, current_payload = 1038342016.0, direction = 3
[INFO] (lattice_cell.c: 374): the key I receive is 537
[INFO] (lattice_cell.c: 374): the key I receive is 360
[INFO] (lattice_cell.c: 374): the key I receive is 539
[INFO] (lattice_cell.c: 374): the key I receive is 368
[INFO] (lattice_cell.c: 374): the key I receive is 369
[INFO] (lattice_cell.c: 401): on tick 1 of 50
[ERROR] (lattice_cell.c: 164): didn't receive the correct number of fi_star
[ERROR] (lattice_cell.c: 165): only received 2 states
[INFO] (lattice_cell.c: 264): sending my position of 5 via multicast with key 448
[INFO] (lattice_cell.c: 228): n=1038777668 w=1038298548 s=1037883104 e=1038343557, nw=1021976219 sw=1021084371 se=1021127472 ne=1022024750
[537, 1038301511, 360, 1038779582, 539, 1038337705, 368, 1038779468, 369, 1038300705]
[INFO] (lattice_cell.c: 180): current_key = 537, current_payload = 1038301504.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 360, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 539, current_payload = 1038337728.0, direction = 3
[INFO] (lattice_cell.c: 180): current_key = 368, current_payload = 1038779456.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 369, current_payload = 1038300736.0, direction = 1
